Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;;;;;Annual variation;2008M01;1.2
Total passengers;;;;;Annual variation;2007M12;-1.9
Total passengers;;;;;Annual variation;2007M11;-1.5
Total passengers;;;;;Annual variation;2007M10;0.3
Total passengers;;;;;Annual variation;2007M09;-3.1
Total passengers;;;;;Annual variation;2007M08;-2.0
Total passengers;;;;;Annual variation;2007M07;0.6
Total passengers;;;;;Annual variation;2007M06;-1.0
Total passengers;;;;;Annual variation;2007M05;-1.0
Total passengers;;;;;Annual variation;2007M04;1.4
Total passengers;;;;;Annual variation;2007M03;0.6
Total passengers;;;;;Annual variation;2007M02;-0.3
Total passengers;;;;;Annual variation;2007M01;3.2
Total passengers;;;;;Annual variation;2006M12;-0.4
Total passengers;;;;;Annual variation;2006M11;0.5
Total passengers;;;;;Annual variation;2006M10;2.9
Total passengers;;;;;Annual variation;2006M09;0.1
Total passengers;;;;;Annual variation;2006M08;1.0
Total passengers;;;;;Annual variation;2006M07;4.8
Total passengers;;;;;Annual variation;2006M06;-0.3
Total passengers;;;;;Annual variation;2006M05;2.4
Total passengers;;;;;Annual variation;2006M04;-10.2
Total passengers;;;;;Annual variation;2006M03;8.7
Total passengers;;;;;Annual variation;2006M02;3.4
Total passengers;;;;;Annual variation;2006M01;0.7
Total passengers;;;;;Annual variation;2005M12;""
Total passengers;;;;;Annual variation;2005M11;""
Total passengers;;;;;Annual variation;2005M10;""
Total passengers;;;;;Annual variation;2005M09;""
Total passengers;;;;;Annual variation;2005M08;""
Total passengers;;;;;Annual variation;2005M07;""
Total passengers;;;;;Annual variation;2005M06;""
Total passengers;;;;;Annual variation;2005M05;""
Total passengers;;;;;Annual variation;2005M04;""
Total passengers;;;;;Annual variation;2005M03;""
Total passengers;;;;;Annual variation;2005M02;""
Total passengers;;;;;Annual variation;2005M01;""
Total passengers;;;;;Annual variation;2004M12;""
Total passengers;;;;;Annual variation;2004M11;""
Total passengers;;;;;Annual variation;2004M10;""
Total passengers;;;;;Annual variation;2004M09;""
Total passengers;;;;;Annual variation;2004M08;""
Total passengers;;;;;Annual variation;2004M07;""
Total passengers;;;;;Annual variation;2004M06;""
Total passengers;;;;;Annual variation;2004M05;""
Total passengers;;;;;Annual variation;2004M04;""
Total passengers;;;;;Annual variation;2004M03;""
Total passengers;;;;;Annual variation;2004M02;""
Total passengers;;;;;Annual variation;2004M01;""
Total passengers;;;;;Annual variation;2003M12;""
Total passengers;;;;;Annual variation;2003M11;""
Total passengers;;;;;Annual variation;2003M10;""
Total passengers;;;;;Annual variation;2003M09;""
Total passengers;;;;;Annual variation;2003M08;""
Total passengers;;;;;Annual variation;2003M07;""
Total passengers;;;;;Annual variation;2003M06;""
Total passengers;;;;;Annual variation;2003M05;""
Total passengers;;;;;Annual variation;2003M04;""
Total passengers;;;;;Annual variation;2003M03;""
Total passengers;;;;;Annual variation;2003M02;""
Total passengers;;;;;Annual variation;2003M01;""
Total passengers;;;;;Annual variation;2002M12;""
Total passengers;;;;;Annual variation;2002M11;""
Total passengers;;;;;Annual variation;2002M10;""
Total passengers;;;;;Annual variation;2002M09;""
Total passengers;;;;;Annual variation;2002M08;""
Total passengers;;;;;Annual variation;2002M07;""
Total passengers;;;;;Annual variation;2002M06;""
Total passengers;;;;;Annual variation;2002M05;""
Total passengers;;;;;Annual variation;2002M04;""
Total passengers;;;;;Annual variation;2002M03;""
Total passengers;;;;;Annual variation;2002M02;""
Total passengers;;;;;Annual variation;2002M01;""
Total passengers;;;;;Annual variation;2001M12;""
Total passengers;;;;;Annual variation;2001M11;""
Total passengers;;;;;Annual variation;2001M10;""
Total passengers;;;;;Annual variation;2001M09;""
Total passengers;;;;;Annual variation;2001M08;""
Total passengers;;;;;Annual variation;2001M07;""
Total passengers;;;;;Annual variation;2001M06;""
Total passengers;;;;;Annual variation;2001M05;""
Total passengers;;;;;Annual variation;2001M04;""
Total passengers;;;;;Annual variation;2001M03;""
Total passengers;;;;;Annual variation;2001M02;""
Total passengers;;;;;Annual variation;2001M01;""
Total passengers;;;;;Annual variation;2000M12;""
Total passengers;;;;;Annual variation;2000M11;""
Total passengers;;;;;Annual variation;2000M10;""
Total passengers;;;;;Annual variation;2000M09;""
Total passengers;;;;;Annual variation;2000M08;""
Total passengers;;;;;Annual variation;2000M07;""
Total passengers;;;;;Annual variation;2000M06;""
Total passengers;;;;;Annual variation;2000M05;""
Total passengers;;;;;Annual variation;2000M04;""
Total passengers;;;;;Annual variation;2000M03;""
Total passengers;;;;;Annual variation;2000M02;""
Total passengers;;;;;Annual variation;2000M01;""
Total passengers;;;;;Annual variation;1999M12;""
Total passengers;;;;;Annual variation;1999M11;""
Total passengers;;;;;Annual variation;1999M10;""
Total passengers;;;;;Annual variation;1999M09;""
Total passengers;;;;;Annual variation;1999M08;""
Total passengers;;;;;Annual variation;1999M07;""
Total passengers;;;;;Annual variation;1999M06;""
Total passengers;;;;;Annual variation;1999M05;""
Total passengers;;;;;Annual variation;1999M04;""
Total passengers;;;;;Annual variation;1999M03;""
Total passengers;;;;;Annual variation;1999M02;""
Total passengers;;;;;Annual variation;1999M01;""
Total passengers;;;;;Annual variation;1998M12;""
Total passengers;;;;;Annual variation;1998M11;""
Total passengers;;;;;Annual variation;1998M10;""
Total passengers;;;;;Annual variation;1998M09;""
Total passengers;;;;;Annual variation;1998M08;""
Total passengers;;;;;Annual variation;1998M07;""
Total passengers;;;;;Annual variation;1998M06;""
Total passengers;;;;;Annual variation;1998M05;""
Total passengers;;;;;Annual variation;1998M04;""
Total passengers;;;;;Annual variation;1998M03;""
Total passengers;;;;;Annual variation;1998M02;""
Total passengers;;;;;Annual variation;1998M01;""
Total passengers;;;;;Annual variation;1997M12;""
Total passengers;;;;;Annual variation;1997M11;""
Total passengers;;;;;Annual variation;1997M10;""
Total passengers;;;;;Annual variation;1997M09;""
Total passengers;;;;;Annual variation;1997M08;""
Total passengers;;;;;Annual variation;1997M07;""
Total passengers;;;;;Annual variation;1997M06;""
Total passengers;;;;;Annual variation;1997M05;""
Total passengers;;;;;Annual variation;1997M04;""
Total passengers;;;;;Annual variation;1997M03;""
Total passengers;;;;;Annual variation;1997M02;""
Total passengers;;;;;Annual variation;1997M01;""
Total passengers;;;;;Annual variation;1996M12;""
Total passengers;;;;;Annual variation;1996M11;""
Total passengers;;;;;Annual variation;1996M10;""
Total passengers;;;;;Annual variation;1996M09;""
Total passengers;;;;;Annual variation;1996M08;""
Total passengers;;;;;Annual variation;1996M07;""
Total passengers;;;;;Annual variation;1996M06;""
Total passengers;;;;;Annual variation;1996M05;""
Total passengers;;;;;Annual variation;1996M04;""
Total passengers;;;;;Annual variation;1996M03;""
Total passengers;;;;;Annual variation;1996M02;""
Total passengers;;;;;Annual variation;1996M01;""
Total passengers;;;;;Year-to-date average variation rate;2024M04;11.3
Total passengers;;;;;Year-to-date average variation rate;2024M03;8.2
Total passengers;;;;;Year-to-date average variation rate;2024M02;14.8
Total passengers;;;;;Year-to-date average variation rate;2024M01;13.6
Total passengers;;;;;Year-to-date average variation rate;2023M12;18.2
Total passengers;;;;;Year-to-date average variation rate;2023M11;18.8
Total passengers;;;;;Year-to-date average variation rate;2023M10;19.5
Total passengers;;;;;Year-to-date average variation rate;2023M09;20.1
Total passengers;;;;;Year-to-date average variation rate;2023M08;21.0
Total passengers;;;;;Year-to-date average variation rate;2023M07;20.9
Total passengers;;;;;Year-to-date average variation rate;2023M06;20.7
Total passengers;;;;;Year-to-date average variation rate;2023M05;21.3
Total passengers;;;;;Year-to-date average variation rate;2023M04;22.6
Total passengers;;;;;Year-to-date average variation rate;2023M03;24.7
Total passengers;;;;;Year-to-date average variation rate;2023M02;27.2
Total passengers;;;;;Year-to-date average variation rate;2023M01;33.7
Total passengers;;;;;Year-to-date average variation rate;2022M12;29.3
Total passengers;;;;;Year-to-date average variation rate;2022M11;30.1
Total passengers;;;;;Year-to-date average variation rate;2022M10;31.7
Total passengers;;;;;Year-to-date average variation rate;2022M09;33.3
Total passengers;;;;;Year-to-date average variation rate;2022M08;34.8
Total passengers;;;;;Year-to-date average variation rate;2022M07;35.7
Total passengers;;;;;Year-to-date average variation rate;2022M06;37.7
Total passengers;;;;;Year-to-date average variation rate;2022M05;39.9
Total passengers;;;;;Year-to-date average variation rate;2022M04;40.4
Total passengers;;;;;Year-to-date average variation rate;2022M03;42.5
Total passengers;;;;;Year-to-date average variation rate;2022M02;42.4
Total passengers;;;;;Year-to-date average variation rate;2022M01;40.9
Total passengers;;;;;Year-to-date average variation rate;2021M12;25.6
Total passengers;;;;;Year-to-date average variation rate;2021M11;25.2
Total passengers;;;;;Year-to-date average variation rate;2021M10;22.8
Total passengers;;;;;Year-to-date average variation rate;2021M09;21.1
Total passengers;;;;;Year-to-date average variation rate;2021M08;19.2
Total passengers;;;;;Year-to-date average variation rate;2021M07;18.3
Total passengers;;;;;Year-to-date average variation rate;2021M06;17.0
Total passengers;;;;;Year-to-date average variation rate;2021M05;7.6
Total passengers;;;;;Year-to-date average variation rate;2021M04;-11.6
Total passengers;;;;;Year-to-date average variation rate;2021M03;-33.1
Total passengers;;;;;Year-to-date average variation rate;2021M02;-49.0
Total passengers;;;;;Year-to-date average variation rate;2021M01;-51.0
Total passengers;;;;;Year-to-date average variation rate;2020M12;-46.5
Total passengers;;;;;Year-to-date average variation rate;2020M11;-47.1
Total passengers;;;;;Year-to-date average variation rate;2020M10;-47.3
Total passengers;;;;;Year-to-date average variation rate;2020M09;-47.5
Total passengers;;;;;Year-to-date average variation rate;2020M08;-48.0
Total passengers;;;;;Year-to-date average variation rate;2020M07;-48.3
Total passengers;;;;;Year-to-date average variation rate;2020M06;-48.5
Total passengers;;;;;Year-to-date average variation rate;2020M05;-45.6
Total passengers;;;;;Year-to-date average variation rate;2020M04;-35.1
Total passengers;;;;;Year-to-date average variation rate;2020M03;-16.9
Total passengers;;;;;Year-to-date average variation rate;2020M02;3.2
Total passengers;;;;;Year-to-date average variation rate;2020M01;1.4
Total passengers;;;;;Year-to-date average variation rate;2019M12;3.0
Total passengers;;;;;Year-to-date average variation rate;2019M11;3.0
Total passengers;;;;;Year-to-date average variation rate;2019M10;3.2
Total passengers;;;;;Year-to-date average variation rate;2019M09;3.0
Total passengers;;;;;Year-to-date average variation rate;2019M08;2.9
Total passengers;;;;;Year-to-date average variation rate;2019M07;3.1
Total passengers;;;;;Year-to-date average variation rate;2019M06;2.9
Total passengers;;;;;Year-to-date average variation rate;2019M05;3.5
Total passengers;;;;;Year-to-date average variation rate;2019M04;3.7
Total passengers;;;;;Year-to-date average variation rate;2019M03;5.8
Total passengers;;;;;Year-to-date average variation rate;2019M02;4.4
Total passengers;;;;;Year-to-date average variation rate;2019M01;4.0
Total passengers;;;;;Year-to-date average variation rate;2018M12;3.1
Total passengers;;;;;Year-to-date average variation rate;2018M11;2.9
Total passengers;;;;;Year-to-date average variation rate;2018M10;3.0
Total passengers;;;;;Year-to-date average variation rate;2018M09;2.6
Total passengers;;;;;Year-to-date average variation rate;2018M08;2.7
Total passengers;;;;;Year-to-date average variation rate;2018M07;2.8
Total passengers;;;;;Year-to-date average variation rate;2018M06;2.7
Total passengers;;;;;Year-to-date average variation rate;2018M05;2.7
Total passengers;;;;;Year-to-date average variation rate;2018M04;2.9
Total passengers;;;;;Year-to-date average variation rate;2018M03;0.1
Total passengers;;;;;Year-to-date average variation rate;2018M02;3.7
Total passengers;;;;;Year-to-date average variation rate;2018M01;6.2
Total passengers;;;;;Year-to-date average variation rate;2017M12;2.5
Total passengers;;;;;Year-to-date average variation rate;2017M11;2.7
Total passengers;;;;;Year-to-date average variation rate;2017M10;2.7
Total passengers;;;;;Year-to-date average variation rate;2017M09;2.6
Total passengers;;;;;Year-to-date average variation rate;2017M08;3.1
Total passengers;;;;;Year-to-date average variation rate;2017M07;3.2
Total passengers;;;;;Year-to-date average variation rate;2017M06;3.1
Total passengers;;;;;Year-to-date average variation rate;2017M05;3.0
Total passengers;;;;;Year-to-date average variation rate;2017M04;2.6
Total passengers;;;;;Year-to-date average variation rate;2017M03;6.5
Total passengers;;;;;Year-to-date average variation rate;2017M02;3.0
Total passengers;;;;;Year-to-date average variation rate;2017M01;4.5
Total passengers;;;;;Year-to-date average variation rate;2016M12;2.6
Total passengers;;;;;Year-to-date average variation rate;2016M11;2.8
Total passengers;;;;;Year-to-date average variation rate;2016M10;2.9
Total passengers;;;;;Year-to-date average variation rate;2016M09;3.1
Total passengers;;;;;Year-to-date average variation rate;2016M08;2.9
Total passengers;;;;;Year-to-date average variation rate;2016M07;2.5
Total passengers;;;;;Year-to-date average variation rate;2016M06;3.0
Total passengers;;;;;Year-to-date average variation rate;2016M05;2.9
Total passengers;;;;;Year-to-date average variation rate;2016M04;2.6
Total passengers;;;;;Year-to-date average variation rate;2016M03;0.8
Total passengers;;;;;Year-to-date average variation rate;2016M02;2.4
Total passengers;;;;;Year-to-date average variation rate;2016M01;-0.2
Total passengers;;;;;Year-to-date average variation rate;2015M12;1.0
Total passengers;;;;;Year-to-date average variation rate;2015M11;0.9
Total passengers;;;;;Year-to-date average variation rate;2015M10;0.5
Total passengers;;;;;Year-to-date average variation rate;2015M09;0.8
Total passengers;;;;;Year-to-date average variation rate;2015M08;0.7
Total passengers;;;;;Year-to-date average variation rate;2015M07;0.5
Total passengers;;;;;Year-to-date average variation rate;2015M06;0.2
Total passengers;;;;;Year-to-date average variation rate;2015M05;-0.3
Total passengers;;;;;Year-to-date average variation rate;2015M04;-0.4
Total passengers;;;;;Year-to-date average variation rate;2015M03;-1.1
Total passengers;;;;;Year-to-date average variation rate;2015M02;-1.7
Total passengers;;;;;Year-to-date average variation rate;2015M01;-2.4
Total passengers;;;;;Year-to-date average variation rate;2014M12;-0.2
Total passengers;;;;;Year-to-date average variation rate;2014M11;-0.4
Total passengers;;;;;Year-to-date average variation rate;2014M10;-0.3
